Label,Message
spam,Get benefits on multiple categories near you. Register all your cards on the OneAssist App http://bit.ly/29zWTvx and view exclusive benefits on your cards.
ham,i have an appointment with dr. shastri tomorrow evening
ham,call john between 5 and 7 on thursday evenings
ham,meet john for weeks in march in london
ham,electricity bill deadline is 4th
spam,"Dear JET Airways Customer, flight 6Z263 from KTU shall be boarding from gate 2Y. Boarding gate closes29 mins prior to the departure time."
ham,Evening@five past 5
spam,OTP is 355567 for the txn of INR 2479.00 at Uber on your SBI bank CREDIT card ending with 1322. Valid till 8:31:17. Do not share the OTP with anyone for security reasons
ham,Hey have you paid this month's money to our cook?
spam,OTP is 127118 for the txn of INR 13830.00 at Aryan Auto Agency on your HDFC bank CREDIT card ending with 1274. Valid till 20:19:29. Do not share the OTP with anyone for security reasons
ham,Let's meet for 30 min every Fri at 6PM for the next three months
ham,"Hello Sir,I will be meeeting ur family tomorrow."
spam,Want to become a Gourmet Chef? Presenting BigBasket HappyChef. Now you can cook world class gourmet meals at home in minutes. Visit: http://goo.gl/w89anh
ham,Mahatma Gandhi Memorial Medical College
spam,Delivered: Your package withNikon AF-S DX Nikkor 35mm f/1.9...was successfully delivered. More info at http://myantra.com/cBfWh1e
spam,"Rs.1178.56 was spent on ur HDFCBank CREDIT Card ending 7967 on 2015-10-24:17:45:49 at M K RETAIL COMPANY.Avl bal - Rs.84761.44, curr o/s - Rs.40238.56"
ham,Want to go to the movies next Tuesday?
ham,i will get the order on the 14th
ham,I guess I'll go too then
spam,"HBAC1, DHARMSHEELA, ORDER# TT437079973."
ham,i will be in london on 18th. meet john there
ham,ok I will only call him and invite for the party :)
ham,In meeting. Urgent?
spam,"Dear AirAsia Customer, flight 8S183 from SXV shall be boarding from gate 5Z. Boarding gate closes18 mins prior to the departure time."
spam,"Dear SPICE JET Customer, flight 1L314 from TRV shall be boarding from gate 15V. Boarding gate closes9 mins prior to the departure time."
spam,"Dear Customer, thank you for your interest in airtel postpaid. Kindly call our executive SATISHKUMAR - 9049454429 for document pickup"
ham,i will be going to usa from 9th july to 21st july
ham,Remember that turn off the lights next Saturday
spam,OTP is 768525 for the txn of INR 16592.00 at Ebay on your HDFC bank CREDIT card ending with 8687. Valid till 9:19:28. Do not share the OTP with anyone for security reasons
ham,will let u know in a minute
ham,Dungeons & Dragons tonight at Ron's house starting at 7 p.m. until midnight
spam,"Dear SPICE JET Customer, flight 8Z864 from JRH shall be boarding from gate 2P. Boarding gate closes23 mins prior to the departure time."
spam,Account notification: The password for your Google Account derekhughes565@gmail.com was recently changed. google.com/password
ham,call john on next 12th after 12:30 am
ham,meet from 12pm till evening
spam,OTP is 438575 for the txn of INR 1811.00 at Ola on your HDFC bank Debit card ending with 7477. Valid till 16:24:18. Do not share the OTP with anyone for security reasons
spam,"Dear customer, We wish you a Happy Holi. Thanks for being a ShopClues customer."
ham,"Sounds good, how about 6pm?"
ham,def. Where and when
spam,"Dear JET Airways Customer, flight 6U258 from BEP shall be boarding from gate 8Z. Boarding gate closes24 mins prior to the departure time."
spam,"Dear customer, We wish you a Happy Vasant Panchami. Thanks for being a Air India customer."
ham,Next wed..Sorry :P
spam,"Dear customer, We wish you a Merry Christmas. Thanks for being a YES Bank customer."
spam,"Dear JET Airways Customer, flight 1F543 from CCJ shall be boarding from gate 2I. Boarding gate closes9 mins prior to the departure time."
ham,oh yeah we can talk at 5pm. its about that one girl who really likes you
spam,Delivered: Your package withChina Maid Laundry bag for keeping your dirty cloths.was successfully delivered. More info at http://ebay.com/cBfWh1e
ham,okk done..c u there at 6pm
ham,meet mary in front of ccd in koramangala tmrw evening
spam,"Dear Customer, acct XX5278 is credited with Rs.500.00 on 05-Mar-17 from anujkmishra@upi. UPI Ref no 978440286795"
ham,meeting on every friday afternoon from 2:00pm to 4:00pm
spam,"Dear customer, We wish you a Happy Muharram. Thanks for being a Uber customer."
ham,I heard that Aalamgeer & Aieeda are getting married next month.
ham,bring files to office
spam,Delivered: Your package withSurf Excel Matic Front Load Deterge... and 2 other itemswas successfully delivered. More info at http://amazon.com/cBfWh1e
ham,art museum will be opened for public from 5th onwards for 10 days
ham,Tom is coming during January
spam,Delivered: Your package withArtificial Intelligence: A Modern Approachwas successfully delivered. More info at http://flipkart.com/cBfWh1e
spam,"Greetings, INDIGO wishes you a Happy Gandhi Jayanti."
ham,Enquire in Bangalore
spam,Cheer out loud for India! Enjoy the nail biting match while we deliver dinner to you at flat 10% off. Use code INDIA. Order right away goo.gl/mWgvjP *T&C.
spam,"Dear Customer, Your Ac XXXXXXXX9978 is credited with INR20,000.00 on 18 Jul. Info.INF*983286389349*LOAN MIHIR. Your Net Available Balance is INR22,738.77."
ham,"Sorry sorry, Julie is not coming actually"
spam,"Dear customer, We wish you a Happy Independence day. Thanks for being a UCO Bank customer."
spam,Delivered: Your package with4m Long Super Strong Emergency Heavy Duty Car Tow Cable 3 T...was successfully delivered. More info at http://flipkart.com/cBfWh1e
spam,Love Cheese?Then use code KZCHZ & get BOGO on cheeseria(veg/paneer/chicken)at kaatizone.com.Free Home delivery for orders above Rs.250.Order now - kaatizone.com
spam,OTP is 838162 for the txn of INR 16570.00 at Air India on your SBI bank CREDIT card ending with 8655. Valid till 9:39:18. Do not share the OTP with anyone for security reasons
ham,Hey what time are we heading to SJ tomorrow?
ham,he will come at 6pm
ham,pick up john from school at 4 p.m
spam,"Dear AirAsia Customer, flight 4V247 from SUN shall be boarding from gate 11G. Boarding gate closes25 mins prior to the departure time."
spam,Delivered: Your package withThe Three Little Pigs (First Fav... and 1 other itemwas successfully delivered. More info at http://patm.com/cBfWh1e
ham,I have to check on Harry abt his well being after breakfast
ham,Lets plan a trip to goa.
ham,lets meet 2 days after 6
ham,i am meeting john in the office tomorrow
ham,meet mary before office
ham,Hey...Can u gimme a drop to Deepak's Place?
spam,"Dear SPICE JET Customer, flight 1I781 from DHM shall be boarding from gate 8G. Boarding gate closes18 mins prior to the departure time."
ham,i should meet the dentist @ sharp 6 in the evening
ham,pick up tuxedos Saturday
ham,Fashion Week at at 11
ham,meet john on every single day
ham,Okay now do not be a spoilsport. We can party after 7 PM..
spam,"Greetings, ShopClues wishes you a Happy Republic Day."
ham,Can we attend Mr. Shastri's lecture on AlterEgo @ training room
spam,OTP is 872846 for the txn of INR 1991.00 at Ola on your HDFC bank Debit card ending with 4455. Valid till 2:22:32. Do not share the OTP with anyone for security reasons
ham,go to the movie on Sunday
ham,"can you pls bring my suit from dry clean today before 8p.m., bcz by the time I'll reach there it will get close"
ham,I didn't get IT return money
ham,"Ok den I?ll call up the theatre, and find out about tickets on Friday morning."
spam,Celebrate birthday parties at Papa John's. Packages @ Rs. 149* onward. Call us on 1800 3010 7272 to know more. *T&C Apply
ham,will meet for 48 hours
spam,"Greetings, Ebay wishes you a Happy Independence day."
ham,I'll call you later.
ham,look for direction to mumbai in maps
spam,Delivered: Your package withSmarty Pet Soft padded Body Set...was successfully delivered. More info at http://snapdeal.com/cBfWh1e
ham,yeah what time is it again?
ham,next chemistry class is on tuesday 2-3pm
spam,"Greetings, Paytm SELLER SERVICES wishes you a Happy Marriage Anniversary."
spam,Delivered: Your package withPrestige PGMFB 800-Watt Grill Sandwich Toasterwas successfully delivered. More info at http://amazon.com/cBfWh1e
ham,No . Its between u and my parents…
ham,lets meet after a month
spam,Delivered: Your package withFormula 1 Black Gold Tire Shine (680 ml)was successfully delivered. More info at http://patm.com/cBfWh1e
spam,Delivered: Your package withSri Low Quality Stainless Steel Blades With Safety Guard Dog Nail Clipper~was successfully delivered. More info at http://patm.com/cBfWh1e
ham,greet mary and her brother
ham,lets meet day after 23 oct
ham,meeting will be there at 5pm
ham,Can you pick me up from the airport on the 17th?
ham,ok.. then meet friday eveng at fossil-fuel power station
ham,mary's birthday party on 12th. meet susan there
ham,may meet susan in may 2nd week
ham,Mary will meet me today at lunch
spam,Delivered: Your package withThe Official Guide to the GR...was successfully delivered. More info at http://shopclues.com/cBfWh1e
ham,Reply to rohini mail at 7:30pm
ham,I need to pick up few kg tomatoes while coming from office
spam,OTP is 381871 for the txn of INR 4771.00 at SPICE JET on your ICICI bank Debit card ending with 7627. Valid till 20:24:48. Do not share the OTP with anyone for security reasons
spam,OTP is 333726 for the txn of INR 17204.00 at Maruti Auto Agency on your SBI bank CREDIT card ending with 5687. Valid till 16:42:23. Do not share the OTP with anyone for security reasons
spam,"Greetings, UCO Bank wishes you a Happy Independence day."
ham,remind me to complete the assignment on time
ham,Plans for lunch?
spam,"Greetings, Docomo wishes you a Happy Holi."
ham,Hey..r u free tomorrow??
spam,Delivered: Your package withArtificial Intelligence: A Modern Approachwas successfully delivered. More info at http://amazon.com/cBfWh1e
ham,lets meet on morning after chuseok
ham,remind me to turn on the geysor every morning at 6
spam,Delivered: Your package withWise and Otherwisewas successfully delivered. More info at http://myantra.com/cBfWh1e
ham,Tom told no to her
ham,Hey..remember we have to attend Khushi's party tomorrow..
ham,"sure, when is a good time?"
ham,Ya he is working hard to get in top 10.
spam,"Consult our expert Dr.Veena(34 years of experience in Gynaecology) from Mon to Sat,5pm-6.30pm for Rs.500 only at Apollo Clinic Indiranagar. Call 080-39202237/15"
spam,Delivered: Your package withAutofurnish Magnetic Sun Shades for Tata Safari Storm...was successfully delivered. More info at http://myantra.com/cBfWh1e
ham,ok I will call her.
ham,I'll be in london this day next year.
ham,i will call john on monday night at 12am in office
spam,OTP is 187566 for the txn of INR 12964.00 at Jabong on your SBI bank CREDIT card ending with 4664. Valid till 23:32:37. Do not share the OTP with anyone for security reasons
ham,Call Pitaji once...
ham,I need to drop off the luggage by EOD
ham,Tom's father is Harper's son.
ham,lets have lunch tmrw
ham,congratulate ram for his first job
spam,OTP is 211787 for the txn of INR 4742.00 at Askme on your SBI bank Debit card ending with 3147. Valid till 22:41:30. Do not share the OTP with anyone for security reasons
spam,OTP is 883385 for the txn of INR 16104.00 at AirportTaxi on your SBI bank Debit card ending with 7723. Valid till 13:19:37. Do not share the OTP with anyone for security reasons
spam,Delivered: Your package withuBall Lappie Piano ..was successfully delivered. More info at http://jabong.com/cBfWh1e
ham,electricity bill has to be paid on or before 4th
ham,doctors today at 4:15
ham,noo!! She is still confused
ham,want to meet u buddy…..
spam,Trip tracking details for cab KA91z9879 booked by devon garcia: Trip InProgress:
spam,Delivered: Your package withZoook ZB-Rocker-2 Wireless B...was successfully delivered. More info at http://shopclues.com/cBfWh1e
ham,At their hometown kerla..
spam,OTP is 218121 for the txn of INR 11195.00 at JET Airways on your ICICI bank CREDIT card ending with 2131. Valid till 0:43:37. Do not share the OTP with anyone for security reasons
spam,"Greetings, AMAZON SELLER SERVICES wishes you a Happy New Year."
spam,Cannot process request. Your mobile number is already registered. TID :34483284653
ham,my credit card bill is due on 21st
spam,"Dear INDIGO Customer, flight 3Y131 from BKB shall be boarding from gate 13G. Boarding gate closes8 mins prior to the departure time."
spam,Delivered: Your package with99 Digitals Dual USB Universal Car Charger 2.1Amp For iPhon...was successfully delivered. More info at http://myantra.com/cBfWh1e
spam,OTP is 516831 for the txn of INR 12536.00 at Ola on your AXIS bank CREDIT card ending with 7621. Valid till 11:22:32. Do not share the OTP with anyone for security reasons
spam,Delivered: Your package withArriving by End of Day: Order#..2308was successfully delivered. More info at http://amazon.com/cBfWh1e
spam,OTP is 284168 for the txn of INR 5361.00 at Myantra on your ICICI bank Debit card ending with 7411. Valid till 16:42:50. Do not share the OTP with anyone for security reasons
spam,Delivered: Your package withPhilips Beard Trimmer Cordless for Men QT4001/15was successfully delivered. More info at http://myantra.com/cBfWh1e
spam,OTP is 323143 for the txn of INR 17546.00 at Bimal Auto Agency on your ICICI bank Debit card ending with 1885. Valid till 11:16:40. Do not share the OTP with anyone for security reasons
ham,Charlie's house for drinks next Wednesday at 10 till late
ham,Cool see you there
ham,credit card bill is due on 27th
ham,remind me to open a bank account tomorrow afternoon
spam,"Free Pedicure! This monsoon pamper yourself at home with HOUSEJOY beauty services- Facials, Detan,Hair Spas & more. Use Code FPEDI on http://bit.ly/2hjblr T&C."
ham,wish all the best to john for his exams next week
ham,Tmrw is the recital ! 8pm!
ham,have to do shopping for my family on coming weekend
spam,"Gold & Biryani-There is nothing better than this! At the foodpanda Cuisine Festival, ordering biryani gets you a gold coin. Order here https://goo.gl/FN7Etu"
spam,"Wow Offers: i)STV 139-Unlimited Local/STD BSNL to BSNL with 300MB Data, 28 Days. ii) STV 339 -Unlimited Local/STD BSNL to BSNL/Others with 1GB Data, 28 Days."
ham,attend john's wedding
spam,Delivered: Your package withMaths Tables Book for beginners | Learning Tables 1 to ~was successfully delivered. More info at http://ebay.com/cBfWh1e
ham,I think we all should attend Prof. Shankar's marriage.
spam,"Dear customer, We wish you a Happy Onam. Thanks for being a Paytm SELLER SERVICES customer."
ham,Sure din on the 21st @ 5 to 7
ham,remind me to book train tickets
spam,"Your order, 11074733 is delivered. Please rate our services, by using our missed call service. Like @ 09119339606 Dislike @ 07420432879"
spam,Added Rs. 1000 to your Paytm wallet. Transaction ID: 4820222852. Current Balance: 1002.0. Get 1 Lakh items at 80% Discount. http://m.p-y.tm/uo. Shop at Mahabazaar
ham,connect with friends on facebook daily at 8 in the evening
ham,We're heading up north in a bit to see grandma rose with my mom. Lord help me..
ham,"hey, can we talk"
ham,gym is tomorrow at 5pm
spam,"Dear AirAsia Customer, flight 1I884 from ISK shall be boarding from gate 17T. Boarding gate closes17 mins prior to the departure time."
ham,call the lawyer on his mobile
ham,"Awesome, see you then."
ham,Lets have it on next weekend
ham,Do you want to catch up tonight?
ham,lets meet next monday after 8
spam,"Your Tkt Cancelled. PNR, 64771623746, Amt 1784 will be refunded in your account."
ham,sure. When is it?
spam,"Greetings, Vodafone wishes you a Happy Dusshera."
spam,"Dear Consumer, your bill of Rs. 1445.00 due on 2017-05-22 for Account ID 7177419558 has been generated. To view and pay online click <www.bescom.co.in>. Treat this SMS as 15 days disconnection notice if payment is not received within due date. If paid ignore this message."
spam,OTP is 655244 for the txn of INR 8921.00 at Meru on your HDFC bank Debit card ending with 5348. Valid till 8:17:18. Do not share the OTP with anyone for security reasons
spam,Delivered: Your package withDettol Disinfectant Multi-Us...was successfully delivered. More info at http://flipkart.com/cBfWh1e
spam,Delivered: Your package withQuantum Slim USB 3.0 High Speed Hub 5 Port Color may ...was successfully delivered. More info at http://myantra.com/cBfWh1e
ham,call the doctor @ quarter to 4
ham,get rid of garbage
ham,create an event for Tuesday at 4 p.m. with Bob
spam,RCOM Movi+Net DATA Pack! Muft subcription 8000 pictures aur 35lakh gaane. Recharge Rs235=2.5GB(1.25GB+1.25GB;Night);28d; Rs122=2GB(1GB+1GB night) 5days.
spam,"Welcome to Chennai. Visit airtel.in/4G to enjoy Airtel 4G, The Fastest Network Ever. Now Roaming call rates are slashed by 35%. Internet tariff same as your home network. To get free incoming calls, SMS ROAM to 121"
ham,pizza with nishu and mrs. mary at pizza hut
ham,remind me to make a dentist appointment on tuesday
spam,"Dear INDIGO Customer, flight 2X377 from ZER shall be boarding from gate 27K. Boarding gate closes25 mins prior to the departure time."
spam,"Your Tkt Cancelled. PNR, 58887772671, Amt 2211 will be refunded in your account."
spam,"Dear customer, We wish you a Happy Dusshera. Thanks for being a Reliance customer."
ham,"Of course, when do you want to start studying?"
spam,OTP is 482531 for the txn of INR 8990.00 at Ola on your AXIS bank CREDIT card ending with 8557. Valid till 1:40:43. Do not share the OTP with anyone for security reasons
ham,dinner with john this saturday at 8
ham,yea!! U could use the same gmail id for hangout also
ham,call mr. raaja prabhu this friday
ham,Do you wanna get some chicken and waffles tmrw at 10am?
ham,Hey..want to come See Simon Amstell in Soho on Friday? Hez testing out some new material.
spam,"Dear SPICE JET Customer, flight 4M175 from PAT shall be boarding from gate 4F. Boarding gate closes1 mins prior to the departure time."
ham,call john on his birhtday
spam,imperio restaurant buffet quick lunch unlimited more than 25 dishes 12.30 to 3.30 buffet menu open our link facebook https://www.facebook.com/imperiobangalore
spam,"Rs.297.00 was spent on your SBI Card no. ending XX7401 at FUTURE RETAIL LTD on 23 May 17. Remaining credit limit: Rs.83,990.42."
ham,will take john's call today
spam,"Dear Air India Customer, flight 6U286 from CCJ shall be boarding from gate 21F. Boarding gate closes26 mins prior to the departure time."
spam,"Dear Customer, to improve your service experience, we are upgrading our systems tonight. Due to this, you may face some intermittent issues in accessing data services on your mobile. Inconvenience is deeply regretted."
ham,where is Amitabh now a days ?
spam,Your payment of Life Insurance Corporation of India bill 367728329 for Rs 10427.00 has been processed successfully.
ham,bring 1 kg sugar tomorrow when returning from office
spam,"Dear customer, We wish you a Happy Onam. Thanks for being a IDBI Bank customer."
ham,pick up paneer to make palak paneer tomorrow
spam,"Dear JET Airways Customer, flight 3W542 from MYQ shall be boarding from gate 19Q. Boarding gate closes22 mins prior to the departure time."
spam,Delivered: Your package withFunskool Game of Lifewas successfully delivered. More info at http://myantra.com/cBfWh1e
ham,8 sounds great =P
spam,"Dear Member, you are now unsubscribed from our messages.To opt in call +918283542438"
ham,Make a note to meet with John for dinner
ham,I will call my wife tomorrow at 6
ham,i will call you after monday
ham,grab sweets from the store
ham,remind john today to come early tomorrow
ham,have to attend the dance workshop which is going to start on Monday till Friday
spam,"Dear INDIGO Customer, flight 8X123 from DMU shall be boarding from gate 21C. Boarding gate closes7 mins prior to the departure time."
spam,"Dear customer, We wish you a Happy Onam. Thanks for being a Bsnl customer."
ham,"Venue is Seva Sadan Institute, 3rd Block, 8th Main, Hiware Bazar"
spam,"Hi, time for adidas UPRISING! See you at the adidas UPRISING TENacity 10k Run on 2nd Oct at Kanteerva Stadium at 6 AM."
ham,i need to wish dr. john on his birthday
spam,"Dear Customer, You have made a Debit Card purchase of INR1,420.00 on 27 Feb. Info.IPS*BANGALORE P. Your Net Available Balance is INR 11,065.33."
ham,at 5 PM dear..You know these ladies are so late..Atleast you be on time..see you there
spam,"Dear SPICE JET Customer, flight 1E723 from PGH shall be boarding from gate 26O. Boarding gate closes10 mins prior to the departure time."
ham,No I mid of something..!! I will call u back in 30 minutes..
spam,"Dear customer, We wish you a Happy Marriage Anniversary. Thanks for being a Docomo customer."
spam,"YOU ARE A GENIUS! And you could win 100s of movie tickets & a smartphone, only on JioChat. Update now. http://goo.gl/9VCgac"
spam,"Dear customer, We wish you a Happy Gandhi Jayanti. Thanks for being a SBI customer."
spam,"Imperio restaurant special offers in Food Panda, If order you will get 35% &amp;50% in PayTm Cash back At COD get 20% Discount Min. Bill Value 400+CALL 080 60484444"
spam,Binge party at home?Enjoy with Cheeseria.Double the fun by using KZCHZ and avail BOGO on cheeseria.Order at kaatizone.com now. Enjoy your weekend !
ham,"Hey, I have a great deal ."
spam,"From School: Dear parent, Northstar Application based alerts are restored, please download our Android or IOS App and track your child's bus. By Northstar."
spam,Delivered: Your package withPrisha India Worst Quality Pure...was successfully delivered. More info at http://jabong.com/cBfWh1e
ham,sharp 9 AM..Please be there on time
ham,ok will meet early morning tomorrow for discussions
spam,"Greetings, ICICI Bank wishes you a Happy Onam."
ham,remind me who i am
ham,ok .so r u intrested?Later maybe...
ham,remind me to check the stove in 8 minutes
spam,Delivered: Your package withAmazon Prime (One Year Membership)was successfully delivered. More info at http://jabong.com/cBfWh1e
spam,"Rs.920.00 was spent on ur HDFCBank CREDIT Card ending 8066 on 2016-03-12:11:56:00 at MAYA HARDWARE &amp; ELECTR.Avl bal - Rs.95583.02, curr o/s - Rs.29416.98"
spam,"Dear Customer, with reference to the Service request no. 11513887 on yourAirtel Mobile, the defaulting unregistered telemarketer number has been disconnected by the concerned operator basis the reported violation. If you are not satisfied with the resolution, contact 274"
ham,I have asked everyone to join.
spam,"Dear AirAsia Customer, flight 8F485 from DMU shall be boarding from gate 11S. Boarding gate closes23 mins prior to the departure time."
spam,Delivered: Your package withHEERAN ART Polyresin Sitting Buddha 24 cm ORBwas successfully delivered. More info at http://flipkart.com/cBfWh1e
ham,okay! when is it?
ham,call peter rizzo at noon tomorrpw
ham,good truck service Friday the 9th at 7:30
ham,rename the event
spam,"Dear Customer, You have made a Debit Card purchase of INR2,080.00 on 18 Feb. Info.IPS*FAMILIES SU. Your Net Available Balance is INR 17,673.69."
spam,"UNLIMITED SUMMER SPECIAL ! Shop for Rs3500 & get a SUPER COOL & STYLISH GYM bag worth Rs699 FREE @ UNLIMITED, Forum Value Mall. Call 080 43558771. TC"
ham,appointment with nishu for lunch
ham,go for the meeting
ham,john will prepone the meeting
ham,i do meet mrs. mary on wednesdays
ham,Congratulations on my behlf :) Let me greet her immediately
spam,Get Rs300 CASHBACK on Shopping of Rs3000 +PAYBACK Points @BigBazaar/fbb Monthly Rewards offer valid from 01-11 Jun | Cashback in Future Pay Wallet. TnC
spam,"Dear customer, We wish you a Happy Janmashtami. Thanks for being a Askme customer."
spam,Delivered: Your package with 10 Pieces of 7mm x 250mm Hot Melt Mini Super Clear Glue Sticks was successfully delivered. More info at http://amzn.in/iwrg84G
spam,"Dear Air India Customer, flight 1J147 from KLH shall be boarding from gate 21K. Boarding gate closes23 mins prior to the departure time."
ham,i will call you by 8pm
spam,"Dear INDIGO Customer, flight 4W277 from CJB shall be boarding from gate 2B. Boarding gate closes17 mins prior to the departure time."
ham,bit busy now. Will do in the evening.
ham,I was thinking around 3pm?
spam,No SMS blackout on 30th and 31st Oct!! Wish your near and dear ones this Deepawali
spam,"Greetings, AirportTaxi wishes you a Happy Ganesh Chaturthi."
spam,OTP is 572563 for the txn of INR 18597.00 at AirportTaxi on your ICICI bank Debit card ending with 6376. Valid till 23:42:26. Do not share the OTP with anyone for security reasons
ham,discuss the execution plan with ce team
ham,call john after the office timings
ham,Which month?? OCT or NOV??
ham,lets meet every 3rd month before 23rd
spam,"Greetings, JET Airways wishes you a Happy Dusshera."
ham,i will call her that day
spam,"Rs.1000.00 was spent on ur HDFCBank CREDIT Card ending 8066 on 2017-01-01:16:12:08 at AMAZON.Avl bal - Rs.159026.00, curr o/s - Rs.10130.00"
ham,I'll be free at 9pm after work!
spam,OTP is 312431 for the txn of INR 8882.00 at Lakshmi Auto Agency on your ICICI bank Debit card ending with 6643. Valid till 4:44:28. Do not share the OTP with anyone for security reasons
ham,meeting is @ quarter to 10 tomorrow morning
ham,Wanna get Thai food on wednesday?
ham,meet john in one hour
ham,create a reminder on monday
spam,"Dear Air India Customer, flight 6F822 from IDR shall be boarding from gate 24M. Boarding gate closes10 mins prior to the departure time."
ham,"ok, ill text you later!"
spam,OTP is 212412 for the txn of INR 1073.00 at Lakshmi Auto Agency on your AXIS bank CREDIT card ending with 8117. Valid till 2:27:50. Do not share the OTP with anyone for security reasons
spam,"Greetings, Canara Bank wishes you a Happy Holi."
ham,Let's make a trip this Sunday...
ham,"No I will be in class at that time, how bat 4PM?"
ham,meet Kim and uip
ham,Pls make notes for me too…I wont b able to attend tomm
ham,remind me about the meeting at 5pm
spam,rziqw3wl is your OTP to login to the Samsung Shop. Code expires in 20 minutes.
spam,Revise Payment: Your payment for Dove Da... and 17 other items has failed. To revise payment and avoid order cancellation please visitConfirmed: Order for JK POPPY SEED (POSTA) 100g & 0 other items is successfully placed. Track:Confirmed: Order for Pampers Premium Care Extra Large Size Diaper Pants (28 Count) & 0 other items is successfully placed. Track: www.bit.ly/59H30c9
spam,OTP is 822352 for the txn of INR 13975.00 at Uber on your SBI bank Debit card ending with 4616. Valid till 20:18:10. Do not share the OTP with anyone for security reasons
spam,OTP is 581145 for the txn of INR 15642.00 at KSRTC on your HDFC bank CREDIT card ending with 3466. Valid till 14:28:30. Do not share the OTP with anyone for security reasons
spam,OTP is 724653 for the txn of INR 14070.00 at Jabong on your HDFC bank CREDIT card ending with 8714. Valid till 15:43:53. Do not share the OTP with anyone for security reasons
ham,i will call you in this week
ham,let me check my schedule..giv me 5 mins
ham,Lets plan to attend
ham,remind me to turn the geyser on @6
ham,"Need to bring 4 bottles of Johny walker whisky and 1 bottle of soda from the Spirit Zone shop, tomorrow at 9:00 pm"
ham,ice cream after the meeting
